district_name,pop_total,pop_total_25plus,median_household_income,median_inc_2544,median_inc_4564,pop_white,pop_black,pop_amerindian,pop_asian,pop_nativehawaii,pop_otherrace,pop_tworaces,pop_hispanic,pop_white_m_15-17,pop_white_m_18-19,pop_white_f_15-17,pop_white_f_18-19,pop_black_m_15-17,pop_black_m_18-19,pop_black_f_15-17,pop_black_f_18-19,pop_amerindian_m_15-17,pop_amerindian_m_18-19,pop_amerindian_f_15-17,pop_amerindian_f_18-19,pop_asian_m_15-17,pop_asian_m_18-19,pop_asian_f_15-17,pop_asian_f_18-19,pop_nativehawaii_m_15-17,pop_nativehawaii_m_18-19,pop_nativehawaii_f_15-17,pop_nativehawaii_f_18-19,pop_otherrace_m_15-17,pop_otherrace_m_18-19,pop_otherrace_f_15-17,pop_otherrace_f_18-19,pop_tworaces_m_15-17,pop_tworaces_m_18-19,pop_tworaces_f_15-17,pop_tworaces_f_18-19,pop_hispanic_m_15-17,pop_hispanic_m_18-19,pop_hispanic_f_15-17,pop_hispanic_f_18-19,fips_state_code,district
"Smithfield School District, Rhode Island",21693,14588,85337,105116,101991,19525,300,4,603,0,34,430,797,373,704,290,631,2,54,0,78,0,0,0,0,0,82,0,67,0,0,0,0,0,15,0,28,23,59,22,34,9,52,34,88,44,00990
"South Kingstown School District, Rhode Island",30652,18169,89917,89640,115028,26637,693,527,730,6,127,447,1485,306,1652,445,1950,10,103,14,211,0,0,0,133,0,95,0,76,0,0,0,0,2,51,0,52,2,72,71,127,6,238,21,339,44,01020
"Tiverton School District, Rhode Island",15774,12154,75295,72387,89609,14832,180,13,132,0,0,171,446,247,99,165,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,01050
"Warwick School District, Rhode Island",80993,61174,73757,84313,91271,71023,1500,169,2445,0,128,1568,4160,1087,562,895,593,32,57,19,0,0,0,0,0,14,30,28,0,0,0,0,0,38,16,4,0,27,48,42,0,128,62,110,14,44,01110
"West Warwick School District, Rhode Island",28944,21018,55927,62364,70960,24504,780,0,859,0,86,571,2144,374,254,346,166,0,97,0,99,0,0,0,0,17,15,51,0,0,0,0,0,0,0,0,0,39,21,77,4,6,40,52,17,44,01140
"Westerly School District, Rhode Island",22544,16861,70784,71161,91917,20461,360,106,494,0,138,257,728,454,292,397,157,0,58,26,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,0,44,01170
"Woonsocket School District, Rhode Island",41603,28943,42595,44487,50000,25993,3218,186,2416,0,387,1585,7818,309,71,276,341,192,164,45,33,0,10,6,0,30,0,50,19,0,0,0,0,81,19,44,0,99,76,96,79,400,168,261,57,44,01200
"Remainder of Rhode Island, Rhode Island",36725,27064,97293,102853,117344,34092,203,76,695,92,251,691,625,676,449,656,310,1,1,0,0,0,0,0,0,28,0,11,10,0,0,0,0,27,0,20,0,0,0,26,16,29,0,29,1,44,99999
"Cumberland School District, Rhode Island",34846,25176,91726,102000,109108,31003,224,5,843,0,10,370,2391,697,292,499,275,0,30,23,0,0,0,0,0,22,0,20,0,0,0,0,0,14,0,66,0,0,0,0,0,72,101,187,19,44,00270
"Barrington School District, Rhode Island",16131,11141,125431,135300,149522,14423,54,18,601,0,22,431,582,263,145,451,81,0,0,6,26,0,0,0,0,33,0,39,0,0,0,0,0,0,0,0,0,22,9,19,0,59,9,27,26,44,00030
