district_name,pop_total,pop_total_25plus,median_household_income,median_inc_2544,median_inc_4564,pop_white,pop_black,pop_amerindian,pop_asian,pop_nativehawaii,pop_otherrace,pop_tworaces,pop_hispanic,pop_white_m_15-17,pop_white_m_18-19,pop_white_f_15-17,pop_white_f_18-19,pop_black_m_15-17,pop_black_m_18-19,pop_black_f_15-17,pop_black_f_18-19,pop_amerindian_m_15-17,pop_amerindian_m_18-19,pop_amerindian_f_15-17,pop_amerindian_f_18-19,pop_asian_m_15-17,pop_asian_m_18-19,pop_asian_f_15-17,pop_asian_f_18-19,pop_nativehawaii_m_15-17,pop_nativehawaii_m_18-19,pop_nativehawaii_f_15-17,pop_nativehawaii_f_18-19,pop_otherrace_m_15-17,pop_otherrace_m_18-19,pop_otherrace_f_15-17,pop_otherrace_f_18-19,pop_tworaces_m_15-17,pop_tworaces_m_18-19,pop_tworaces_f_15-17,pop_tworaces_f_18-19,pop_hispanic_m_15-17,pop_hispanic_m_18-19,pop_hispanic_f_15-17,pop_hispanic_f_18-19,fips_state_code,district
"Ardsley Union Free School District, New York",9403,6632,175000,235278,231477,7130,245,9,1055,0,26,353,585,112,67,124,74,9,9,0,0,0,0,0,0,22,24,23,0,0,0,0,0,58,0,5,0,0,0,20,12,93,8,4,0,36,03180
"Argyle Central School District, New York",3815,2943,56563,70083,71250,3724,9,12,8,0,11,23,28,72,28,105,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,8,0,1,0,4,0,1,0,36,03210
"Arkport Central School District, New York",2990,2016,51523,73750,60357,2801,2,14,7,0,28,27,111,102,22,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,36,03240
"Arlington Central School District, New York",57793,39753,96184,95063,117275,43406,4614,29,1871,46,336,1312,6179,893,635,818,901,45,89,55,53,0,14,0,6,33,103,50,122,0,0,0,0,12,13,8,39,60,12,29,71,118,147,174,90,36,03270
"Attica Central School District, New York",12820,9524,66753,68451,79461,10687,1209,104,10,0,0,107,703,160,119,182,120,0,15,0,0,0,14,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,6,0,5,14,6,0,36,03420
"Oceanside Union Free School District, New York",35705,25059,122949,160244,142026,28854,525,200,935,5,18,180,4988,537,352,419,312,0,0,13,8,49,0,0,0,39,0,0,0,0,0,0,0,21,111,44,0,72,0,0,0,194,165,69,106,36,21570
"Odessa-Montour Central School District, New York",5893,4318,54596,53796,75988,5750,60,0,0,0,4,42,37,105,47,97,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,2,0,0,2,0,0,0,36,21630
"Ogdensburg City School District, New York",10887,8073,43419,50592,52750,9713,410,108,115,38,0,181,322,176,20,165,58,3,1,0,0,0,0,0,0,5,0,4,0,0,0,0,0,2,16,0,0,8,0,0,0,7,16,0,0,36,21660
"Olean City School District, New York",15233,10892,43811,45740,59716,13696,476,191,301,0,1,372,196,371,122,197,129,0,24,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52,11,10,0,36,21720
"Oneonta City School District, New York",19860,10538,49777,51274,53767,16813,730,15,444,0,19,477,1362,68,867,237,1190,14,160,43,127,0,0,0,8,0,37,0,55,0,0,0,0,0,37,0,48,0,84,3,119,15,102,26,277,36,21780
"Onondaga Central School District, New York",5553,3923,66202,82500,76563,4465,434,237,72,0,0,232,113,93,45,76,5,0,6,5,12,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,4,8,5,36,21810
"Onteora Central School District, New York",15330,12329,62056,69286,73022,13627,155,24,311,95,0,398,720,207,182,203,105,0,0,0,24,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,10,42,0,10,8,20,11,36,21840
"Orchard Park Central School District, New York",33930,24477,88507,99861,119438,32383,155,18,422,0,76,182,694,752,349,527,248,3,0,0,0,0,0,0,0,24,0,27,0,0,0,0,0,4,0,33,0,0,0,5,0,41,27,61,0,36,21900
"Oysterponds Union Free School District, New York",1741,1488,76438,54188,135833,1602,21,12,4,0,0,44,58,25,19,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,21930
"Greenburgh Central School District, New York",21569,16636,104219,117083,132269,9035,5536,48,2198,0,49,436,4267,77,62,106,33,76,60,49,32,0,38,0,0,14,25,0,29,0,0,0,0,14,42,0,72,0,0,6,0,73,96,87,105,36,12720
"Greene Central School District, New York",6690,4826,60632,68906,72014,6295,28,44,29,0,0,80,214,132,30,86,87,1,9,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,13,2,11,0,2,4,3,0,36,12750
"Greenport Union Free School District, New York",4477,3793,58538,50357,80179,3159,381,0,26,0,13,67,831,19,0,23,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,31,0,13,36,12840
"Greenville Central School District, New York",8694,6055,74436,72450,88977,8280,68,0,25,0,56,39,226,206,93,179,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,0,0,0,36,12870
"Greenwich Central School District, New York",6595,4651,70806,70179,77258,6358,20,0,67,0,0,63,87,105,44,61,47,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,36,12900
"Greenwood Lake Union Free School District, New York",5715,4194,80864,107583,81142,4675,72,98,25,0,0,37,808,35,23,20,24,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,36,12960
"Groton Central School District, New York",6345,4480,58722,67500,72872,5706,111,13,102,0,0,157,256,76,21,111,5,13,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,36,13020
"Guilderland Central School District, New York",36490,24844,82063,85878,110924,29662,1287,12,3332,0,25,721,1451,411,622,400,636,63,80,53,119,0,0,0,0,58,53,83,46,0,0,0,0,0,22,0,45,21,33,13,31,47,69,14,143,36,13080
"Hadley-Luzerne Central School District, New York",6168,5051,58670,64250,66534,5998,45,0,0,0,0,66,59,64,58,94,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,36,13110
"Rotterdam-Mohonasen Central School District, New York",19662,14207,66473,80210,77300,16207,1106,1,323,0,102,950,973,299,210,277,205,116,0,16,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,12,0,106,12,97,70,35,0,0,36,00004
"Dolgeville Central School District, New York",5528,3758,46051,60268,53818,5145,12,31,11,0,0,93,236,105,87,117,42,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,0,0,8,36,00001
"Sauquoit Valley Central School District, New York",6066,4319,69844,73750,84271,5876,19,17,66,0,4,29,55,149,33,115,55,0,0,0,0,0,0,0,0,19,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,00002
"Edwards-Knox Central School District, New York",3074,2173,55304,70893,62125,3024,0,12,2,0,0,30,6,67,21,50,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,00003
"East Bloomfield Central School District, New York",6341,4742,58558,59712,73774,6201,23,0,0,0,5,19,93,144,81,97,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,36,04920
"Pine Valley Central School District (South Dayton), New York",4143,2532,48348,49583,54792,4035,16,11,2,0,0,22,57,101,33,57,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,2,0,0,0,36,23070
"Piseco Common School District, New York",148,113,72813,71250,74583,146,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,23130
"Pittsford Central School District, New York",33641,22269,126912,141149,155329,28382,461,27,2828,0,11,776,1156,707,778,642,873,0,63,5,63,0,0,0,0,21,57,80,51,0,0,0,0,10,0,14,13,11,19,46,31,34,37,68,55,36,23160
"Plainedge Union Free School District, New York",20179,13932,125130,151042,148750,17956,64,0,662,0,11,194,1292,347,276,486,168,0,0,0,0,0,0,11,0,35,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,18,0,30,8,36,23190
"Plainview-Old Bethpage Central School District, New York",28549,19923,145550,193068,162526,22547,135,16,4158,0,146,270,1277,540,229,428,137,13,0,0,0,0,0,0,0,86,33,46,37,0,0,0,0,9,20,0,0,0,0,13,10,14,10,4,6,36,23220
"Plattsburgh City School District, New York",19465,10945,49065,50309,62027,17054,733,71,549,7,66,387,598,149,491,158,859,0,26,26,229,0,10,0,13,0,58,0,140,0,0,0,0,0,60,0,46,0,15,7,59,7,67,6,172,36,23280
"South Colonie Central School District, New York",38894,28285,80913,99255,92727,31776,1862,53,2674,0,31,1101,1397,598,471,527,283,83,41,34,0,0,0,0,0,39,49,13,22,0,0,0,0,0,0,27,21,5,58,71,0,64,0,90,14,36,27210
"South Glens Falls Central School District, New York",20106,13903,69436,76036,87295,19434,24,46,0,0,0,259,343,374,189,287,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,12,0,16,0,16,0,25,23,12,36,27240
"South Huntington Union Free School District, New York",38489,26786,111480,113438,128125,25892,2028,0,1897,16,831,735,7090,317,254,502,161,76,0,50,67,0,15,0,0,28,5,95,4,0,0,0,0,16,111,222,44,44,79,15,0,98,151,331,71,36,27300
"South Kortright Central School District, New York",2349,1844,55300,56250,61938,2167,63,0,28,0,0,51,40,34,45,42,0,19,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,6,0,0,0,36,27330
"South Lewis Central School District, New York",6977,4939,52841,64653,52108,6669,75,0,6,0,0,30,197,83,26,103,33,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,28,36,27360
"South Orangetown Central School District, New York",21107,14292,122587,124688,151508,15729,423,12,2273,0,25,424,2221,299,277,304,201,0,63,12,29,0,0,0,0,63,10,39,18,0,0,0,0,0,24,32,43,0,9,24,31,17,51,71,86,36,27450
"Southampton Union Free School District, New York",9600,7864,112996,109022,133571,7834,270,18,178,0,0,92,1208,78,0,188,46,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,36,27540
"Southern Cayuga Central School District, New York",5911,4029,68305,67857,79000,5430,24,2,20,0,0,60,375,95,117,89,73,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,9,0,14,0,0,0,1,0,9,14,15,0,36,27570
"Southold Union Free School District, New York",6697,5329,77750,51313,130732,5762,12,0,154,0,0,0,769,169,30,139,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,27620
"Spencer-Van Etten Central School District, New York",6574,4599,56056,62165,59345,6127,58,4,27,0,7,130,221,80,95,77,49,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,13,4,36,27750
"Spencerport Central School District, New York",24610,17317,72749,75681,99026,21920,659,9,220,0,48,351,1403,473,171,327,256,62,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,12,0,21,0,11,0,30,46,0,4,36,27780
"Springs Union Free School District, New York",7036,5246,89491,60517,107630,4473,0,0,386,0,0,0,2177,62,24,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,36,27900
"Brasher Falls Central School District, New York",5558,3920,44254,44474,52083,5359,14,35,35,0,6,61,48,147,34,88,40,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,36,27960
"Stamford Central School District, New York",2807,2192,43947,45962,53375,2638,18,0,50,0,0,12,89,40,15,53,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,36,28020
"Starpoint Central School District, New York",18348,12582,89208,121080,101919,17609,122,22,261,0,16,214,104,452,167,418,137,0,0,0,0,0,0,0,0,26,42,26,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,36,28050
"Stillwater Central School District, New York",7616,5707,87025,132083,92547,7253,17,7,109,0,0,36,194,132,96,165,54,0,0,0,5,0,0,0,0,19,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,2,0,0,7,36,28110
"Harrisville Central School District, New York",2123,1531,50625,52813,63295,2081,1,11,3,0,0,18,9,35,14,35,21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,36,13770
"Hartford Central School District, New York",2715,2047,68065,76000,78542,2567,0,0,48,0,0,70,30,22,25,49,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8,0,0,0,0,0,36,13830
"Hastings-on-Hudson Union Free School District, New York",8445,5876,145053,187639,176875,6799,224,0,579,0,108,177,558,176,35,225,23,3,31,24,0,0,0,0,0,19,0,37,0,0,0,0,0,41,14,5,0,7,0,0,0,24,0,5,0,36,13950
"Hauppauge Union Free School District, New York",22563,16302,119260,135117,143082,18134,757,14,1413,0,43,125,2077,571,184,211,242,27,0,0,0,0,0,0,0,10,5,31,5,0,0,0,0,0,59,0,53,0,0,0,0,81,125,11,53,36,13980
"Hempstead Union Free School District, New York",44470,28085,56038,54006,62960,2349,17698,75,852,0,108,621,22767,18,20,11,0,283,125,151,354,0,14,0,0,17,9,13,13,0,0,0,0,257,135,253,234,104,43,66,38,441,262,389,327,36,14130
"Hendrick Hudson Central School District, New York",15982,11532,105564,96500,134076,12060,844,5,738,7,20,254,2054,258,152,263,85,26,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,51,10,24,27,23,39,13,10,71,61,24,14,36,14190
"Herkimer Central School District, New York",9670,7175,50711,54352,70938,8960,158,31,91,0,22,203,205,80,175,39,95,0,43,1,6,0,0,0,0,0,0,0,15,0,0,0,0,9,16,0,17,0,34,14,0,0,28,0,10,36,14220
"Hermon-DeKalb Central School District, New York",2459,1720,43676,65156,41917,2413,3,5,0,9,1,19,9,27,28,49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,14250
"Herricks Union Free School District, New York",24203,17326,137738,194013,162471,12128,224,90,9343,52,459,675,1232,187,162,206,119,0,0,0,0,0,0,7,0,185,79,176,94,0,0,0,15,0,0,0,44,40,0,22,0,23,0,7,0,36,14280
"Heuvelton Central School District, New York",4401,2639,49107,58750,74950,4330,18,9,0,0,0,18,26,133,49,100,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36,14310
"Hicksville Union Free School District, New York",40209,29180,109897,132059,128679,21169,1468,14,10864,8,105,909,5672,391,179,299,323,57,14,0,3,0,0,0,0,216,70,97,140,0,0,0,0,13,54,35,50,10,11,49,0,99,37,70,129,36,14340
"Highland Central School District, New York",11653,8634,77687,81184,89957,9360,612,2,199,0,90,199,1191,114,149,113,117,53,3,12,0,0,0,0,0,26,0,8,0,0,0,0,0,10,0,6,0,12,0,24,0,29,24,42,0,36,14400
"Highland Falls Central School District, New York",12165,5830,98022,104667,99688,7924,1210,38,767,10,36,734,1446,87,573,166,190,10,66,6,22,0,0,0,0,0,25,0,31,0,0,0,0,0,23,15,0,17,51,29,0,0,53,74,61,36,14430
"Hilton Central School District, New York",26372,19032,78726,101070,91528,24484,757,28,135,0,17,185,766,469,164,468,186,23,23,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,20,11,72,0,36,14460
"Hinsdale Central School District, New York",2793,1894,46731,42031,53971,2561,125,8,16,0,0,78,5,23,26,46,51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,36,14490
"Holland Central School District, New York",6926,4941,66926,78218,70000,6791,48,0,8,0,0,63,16,142,100,137,63,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,0,0,0,36,14550
"Holland Patent Central School District, New York",10088,7263,78539,89545,84354,9795,143,0,6,0,0,110,34,118,107,170,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,36,14580
"Holley Central School District, New York",7438,5438,51573,51314,68156,6668,132,22,77,0,0,157,382,68,96,31,101,8,14,4,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,23,5,15,29,0,0,36,14610
"Sachem Central School District, New York",82952,58194,105864,116835,122850,63613,2892,178,4003,35,88,1308,10835,1269,685,1323,641,134,104,83,87,21,0,0,0,86,34,74,18,0,6,0,0,46,0,23,20,54,42,46,19,307,204,322,159,36,25350
"Stockbridge Valley Central School District, New York",2834,2091,53906,64453,62361,2657,15,23,1,0,0,45,93,40,29,30,15,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,28140
"Oriskany Central School District, New York",4578,3359,61783,61576,75257,4221,151,0,50,0,9,46,101,119,5,61,34,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,6,7,0,0,0,9,23,0,36,21960
"Ossining Union Free School District, New York",34725,25973,87669,87267,110199,16250,3772,0,1782,0,200,592,12129,244,90,194,136,72,12,30,0,0,0,0,0,91,13,83,9,0,0,0,0,179,42,102,72,59,0,11,5,239,91,264,72,36,22020
"Oswego City School District, New York",31960,19420,53285,62422,68304,28432,713,34,463,10,43,693,1572,473,1008,387,1112,68,158,23,204,0,18,0,14,2,38,0,50,0,0,0,0,13,37,5,42,20,39,30,42,34,160,53,195,36,22050
"Georgetown-South Otselic Central School District, New York",2289,1717,56150,60625,62778,2163,8,46,0,0,12,24,36,51,23,37,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,22100
"South Seneca Central School District, New York",6939,4989,51782,58750,60905,6247,327,21,12,5,8,126,193,135,58,144,54,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,36,22140
"Owego-Apalachin Central School District, New York",14215,10402,62668,70302,74936,13299,80,12,182,0,0,311,331,163,201,238,141,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,23,4,11,8,2,13,36,22170
"Oxford Academy and Central School District, New York",4957,3587,49785,60990,53864,4706,78,0,6,0,0,27,140,134,41,79,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,3,4,0,17,0,36,22260
"Oyster Bay-East Norwich Central School District, New York",12667,9384,116429,160580,140556,10379,273,0,390,0,18,226,1381,211,86,261,63,9,0,0,9,0,0,0,0,6,0,4,0,0,0,0,0,0,12,0,11,0,8,22,0,24,12,35,11,36,22290
"Palmyra-Macedon Central School District, New York",11784,8800,59610,58056,73324,11134,82,5,89,8,10,12,444,206,72,217,110,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,15,0,12,36,22380
"Panama Central School District, New York",3565,2328,56440,63750,71324,3407,0,0,27,0,9,14,108,52,19,79,41,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,0,36,22410
"Parishville-Hopkinton Central School District, New York",2985,2085,54815,56016,66304,2859,14,30,21,0,0,23,38,57,52,69,28,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,36,22440
"Patchogue-Medford Union Free School District, New York",51903,36800,83245,96060,101563,35196,2918,90,1301,0,38,416,11944,429,415,672,383,85,0,119,34,0,0,0,0,0,7,44,12,0,0,0,0,28,0,3,36,11,17,6,33,288,199,351,189,36,22470
"Pavilion Central School District, New York",4657,3358,65875,74250,72321,4271,70,28,0,0,0,24,264,78,26,64,7,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,17,0,0,36,22500
"Pawling Central School District, New York",8864,6270,95167,83942,121190,7152,270,0,162,5,0,179,1096,131,171,171,40,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,26,10,0,0,4,22,5,0,43,13,29,0,36,22530
"Pearl River Union Free School District, New York",16036,11086,114440,142188,135000,12760,831,129,608,0,12,138,1558,276,178,189,173,0,0,3,0,0,0,0,0,23,0,9,0,0,0,0,0,91,0,0,0,12,0,17,0,103,5,0,0,36,22560
"Peekskill City School District, New York",24075,16242,57206,53657,87216,7022,5350,33,505,0,28,664,10473,8,21,122,0,284,49,48,110,0,0,0,0,0,0,0,0,0,0,0,0,136,130,49,110,25,12,23,0,150,142,103,110,36,22650
"Pelham Union Free School District, New York",12510,7936,157143,188750,175875,8322,1118,0,969,0,24,483,1594,301,114,154,99,42,0,42,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,11,0,0,0,32,10,50,10,37,6,36,22680
"Penfield Central School District, New York",31377,23125,83432,97019,108535,27571,525,53,1093,12,0,527,1596,535,145,509,173,1,2,24,1,0,0,0,0,21,10,32,26,0,0,0,0,0,0,0,0,0,38,31,0,72,59,56,0,36,22710
"Penn Yan Central School District, New York",14898,9915,55550,62250,72179,14032,141,17,142,0,10,143,413,264,261,173,376,0,0,0,0,0,17,0,0,0,0,24,15,0,0,0,0,0,0,0,0,13,0,0,0,0,10,0,0,36,22740
"Perry Central School District, New York",5884,4355,52069,60179,55417,5245,145,13,49,0,0,226,206,118,46,135,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,27,0,0,0,0,0,15,0,36,22770
"Peru Central School District, New York",13237,9293,61880,59212,73194,12654,73,60,119,0,2,80,249,233,339,268,98,0,7,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,9,0,0,0,19,36,22830
"Phelps-Clifton Springs Central School District, New York",11462,8160,62196,63847,74587,10652,26,0,66,0,0,134,584,154,103,168,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,5,0,68,0,0,0,36,22890
"Phoenix Central School District, New York",12083,8753,60154,60665,67436,11436,182,16,75,0,0,151,223,308,103,204,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,0,14,0,36,22920
"Pine Bush Central School District, New York",33102,22660,79995,77771,100243,23312,2772,241,799,0,108,663,5207,408,233,365,155,106,0,109,87,0,15,0,0,7,0,16,16,0,0,0,0,46,18,59,26,24,33,4,0,110,57,125,63,36,23010
"Pine Plains Central School District, New York",9145,6858,77434,68594,95024,8157,127,0,230,14,11,62,544,222,80,106,67,13,1,0,4,0,0,0,12,0,0,0,0,0,14,0,0,1,0,0,0,7,0,0,0,25,2,0,14,36,23040
"Bethlehem Central School District, New York",28255,19585,109223,116215,131195,25368,434,1,1171,0,57,368,856,464,277,577,320,25,26,1,0,0,0,0,0,67,47,15,0,0,0,0,0,0,0,0,0,42,0,23,0,16,36,41,0,36,04710
"Bethpage Union Free School District, New York",20824,15272,127179,154907,152083,15866,184,132,2351,0,23,114,2154,321,97,232,100,0,0,0,0,0,0,0,0,26,45,14,58,0,0,0,0,9,0,0,10,7,21,0,0,28,11,19,59,36,04740
"Gilbertsville-Mount Upton Central School District, New York",3023,2284,48470,61797,51964,2913,0,0,20,0,0,72,18,34,53,46,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,36,04757
"Kiryas Joel Village Union Free School District, New York",24334,6219,31128,41205,29250,23917,4,0,0,0,0,45,368,1014,839,914,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,17,11,12,0,36,04758
"Binghamton Common School District, New York",443,326,129375,135000,130625,419,6,0,10,0,0,8,0,15,5,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,04800
"Binghamton City School District, New York",45140,29040,34487,41435,41432,31912,4976,106,2223,0,7,2694,3222,415,309,389,251,155,118,171,35,0,0,0,15,25,12,14,111,0,0,0,0,51,13,28,39,86,26,90,192,72,45,82,125,36,04870
"Carle Place Union Free School District, New York",9968,7296,102987,115142,119773,6931,382,0,939,0,251,166,1299,140,74,92,75,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,14,13,0,0,0,28,0,35,19,36,06540
"Candor Central School District, New York",4970,3416,59570,54844,73235,4556,45,0,34,0,0,234,101,116,38,98,33,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,32,0,0,0,0,0,29,0,32,36,06420
"New Suffolk Common School District, New York",250,214,69886,-666666666,-666666666,238,12,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,20520
"New York City Department Of Education, New York",8419316,5935215,63998,79019,68975,2702286,1837549,14463,1176762,2828,70188,167378,2447862,32989,21844,31194,23246,39297,24024,38767,24008,609,631,465,690,16959,10801,16032,11374,64,53,39,73,25806,17401,26369,16665,6797,3528,5800,3231,49255,32435,47350,31585,36,20580
"New York Mills Union Free School District, New York",5552,3968,46976,46250,57500,5162,55,0,82,0,0,129,124,146,83,20,137,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,0,0,36,20610
"Newark Central School District, New York",14787,10656,49779,50604,57486,12621,611,20,157,31,0,432,915,228,170,219,139,0,0,55,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,18,18,17,2,0,21,42,7,18,36,20640
"Newark Valley Central School District, New York",7339,5000,70011,86662,82250,7020,29,87,19,0,0,59,125,148,65,163,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,5,0,14,1,1,0,36,20670
"Newburgh City School District, New York",67205,44188,62484,62797,74202,27414,12678,106,1690,29,307,1725,23256,466,349,264,361,236,243,401,234,0,13,0,0,39,67,7,0,0,0,0,0,241,219,224,60,97,115,59,27,629,515,427,378,36,20700
"Newcomb Central School District, New York",375,327,53875,130250,68333,356,2,2,2,0,0,9,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,36,20730
"Newfane Central School District, New York",10738,7817,59356,69207,70722,10397,39,76,19,0,0,158,49,281,106,190,89,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,20,1,0,0,1,36,20760
"Newfield Central School District, New York",5143,3661,53656,54813,66632,4763,137,0,19,0,0,89,135,38,40,22,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,26,0,0,0,36,20790
"Niagara Falls City School District, New York",48252,32936,36346,37491,44185,31442,10581,554,836,33,38,2221,2547,467,158,324,332,299,95,258,96,12,0,5,0,6,0,10,0,0,0,0,0,10,8,0,0,105,65,71,132,63,89,27,0,36,20820
"Niagara-Wheatfield Central School District, New York",26871,19852,67604,82953,88004,24049,543,1075,194,19,74,311,606,382,261,387,133,8,36,0,0,37,48,28,0,11,0,0,0,0,0,0,0,8,0,0,0,25,0,4,0,0,8,0,97,36,20850
