ceeb,ncessch
030287,040593001553
030362,040015301752
030377,040593001995
030317,040593001421
030376,040021601864
030524,040028802176
030304,040593000491
030065,040024302030
030527,040024302152
030310,040633000552
030580,040061803095
030374,040038601894
030425,040345000281
030379,040015301902
030312,040345000282
030313,040633000554
030583,040065503096
030369,040006701901
030320,040345000283
030387,040035501734
030253,040378001860
030457,040016101749
030456,040016201751
030295,00031265
030330,040644000558
030333,040002301524
030344,040064401068
030426,040026702091
030345,040673000568
030371,040021101975
030071,040387000306
030463,040032602321
030348,040681001383
030351,040752001036
030051,590000400016
030358,040724000527
030355,040724000624
030357,040730000626
030360,040802000701
030365,040808001049
030375,040116000062
030389,040696001502
030449,040963003076
030390,040457000366
030395,040743001868
030385,040674001142
030397,040757000641
030398,040757000644
030396,040757000604
030039,040003600709
030401,040593001084
030392,A0300071
030404,040757000659
030394,040004700744
030408,040973301040
030415,040763000668
030416,040395000310
030419,590001400108
030448,040015401770
030418,040770000673
030393,040024601856
030417,040146000081
030423,040001600476
030458,040028402094
030420,040782000694
030090,040713001044
030430,040823000760
030518,040032602162
030464,040032502161
030544,040269003126
030434,040061203131
030443,040834001576
030431,040834000790
030232,040010401584
030554,040065001846
030447,040023102021
030620,040024501857
030432,040834000793
030433,040834000794
030407,040004300733
030446,040038701735
030435,040834000795
030444,040007000831
030440,040841001110
030008,040852002339
030445,040852000805
030450,040860000809
030451,590002000000
030452,040868000812
030460,040036802037
030466,040020201959
030551,040012901790
030455,040068000032
030514,040013401786
030511,040011401616
030473,040068000033
030519,040063303106
030476,040176000011
030475,040880001261
030478,040880001443
030516,040032202205
030479,040817001438
030552,040007801957
030485,040301000231
030512,040014701787
030509,040880001450
030517,040068002198
030508,040012501619
030200,040463000370
030521,040020401962
030497,040463001372
030493,040880001263
030499,040008301011
030498,040008101010
030491,040880001508
030500,040880001445
030502,040880001446
030503,040880000827
030504,040880001447
030513,040880001448
030477,040301001611
030562,040025902080
030525,040817000743
030507,040038801736
030530,040880001268
030528,040015901791
030523,040008501024
030488,040880001441
030541,040885002195
030537,040885001955
030535,040072000034
030538,040916000005
030545,040919000955
030550,040925000957
030555,040931000960
030165,040373000293
030556,040031402191
030559,590002400181
030558,040007700918
030560,040946000975
030561,040954001119
030569,040963001388
030572,040009501114
030568,040963000996
030571,040963000157
030570,040963000997
050598,063864010385
053176,590001900136
050008,060000103278
050003,062100002518
050005,060177000041
050011,060177008673
050013,060177008674
050015,060177000045
050017,060177000048
050035,060186000059
050050,060193000065
050040,060193000068
050053,060015310930
050055,060193000074
051324,060744002328
050070,060201000088
050077,060816000790
050080,062519003764
050090,060263000169
052267,062865004421
050093,063066004758
050089,060263000174
050081,060263000176
050084,060263000180
050083,060263000182
050087,060263000187
050092,060263000192
050151,060270010671
050095,060270000196
050102,060270000197
050104,060270005415
050100,060594000537
050141,060790008581
052141,060790008805
050128,060790009343
050115,060285000207
050110,060285007017
050109,060285005724
050123,060285000213
050112,060285009517
050108,061692009377
050126,060001707296
050118,060001709098
050134,060001708297
050127,060001709099
050119,062949004535
050120,063036004736
050130,060297000223
050135,060303000238
050150,062308003516
050186,062308003523
050160,061954002339
050165,060330000247
050170,063639006195
050172,062466003699
050181,062466008741
050174,063075004780
050184,063075010269
050175,063075004784
050180,062250007299
050185,063227007335
050188,060360000268
050195,060361000287
050205,061954002340
050209,061954002041
050210,061954002343
050213,061954002344
050259,061954011297
050218,061954002345
050252,069101207112
050250,069101207502
050251,069101209226
050196,061954007994
050220,061954002350
050202,061954003116
050223,061954002353
050217,061954010223
050253,069101208491
050222,061954002355
050207,061954009145
050224,061954002356
050225,060369000324
050227,060369000335
050228,060369000338
050230,060384000347
050235,060402000355
050234,060402000358
053031,060207007943
050240,060429000386
050246,060429008261
050247,060429007206
050248,060429000389
050245,062271002844
050265,062547003790
050255,060444000396
050262,060444000408
050270,063639006194
050289,063474002797
050280,060462000422
050282,061187006047
050290,060474000432
050320,060483000471
050325,060501000482
050330,060423000381
050331,060423007264
