zip_name,median_household_income,medincome_total,medincome_under25,medincome_2544,medincome_4564,medincome_65plus,state_fips_code,zip_code
ZCTA5 58224,128125,128125,-666666666,-666666666,129375,-666666666,38,58224
ZCTA5 58225,75385,75385,-666666666,85417,92708,57679,38,58225
ZCTA5 58227,76071,76071,97083,76442,110250,30000,38,58227
ZCTA5 58228,61364,61364,72750,55893,78438,51250,38,58228
ZCTA5 58229,35000,35000,-666666666,-666666666,42500,27500,38,58229
ZCTA5 58230,69706,69706,46827,76607,76250,76875,38,58230
ZCTA5 58231,58906,58906,35938,67917,72500,36875,38,58231
ZCTA5 58233,64583,64583,-666666666,64375,63438,102750,38,58233
ZCTA5 58235,63500,63500,-666666666,57500,69167,-666666666,38,58235
ZCTA5 58237,52612,52612,43750,77535,59038,39519,38,58237
ZCTA5 58238,69167,69167,-666666666,69250,-666666666,35500,38,58238
ZCTA5 58239,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,38,58239
ZCTA5 58240,58667,58667,48036,65833,68125,53672,38,58240
ZCTA5 58241,-666666666,-666666666,-666666666,-666666666,66250,-666666666,38,58241
ZCTA5 58243,50982,50982,-666666666,54306,68125,37917,38,58243
ZCTA5 58244,81250,81250,-666666666,83333,78750,-666666666,38,58244
ZCTA5 58249,63417,63417,51087,102098,80625,49625,38,58249
ZCTA5 58250,53750,53750,-666666666,96250,66250,34107,38,58250
ZCTA5 58251,65278,65278,45000,65192,85938,56750,38,58251
ZCTA5 58254,54219,54219,-666666666,81250,54917,35833,38,58254
ZCTA5 58256,92143,92143,-666666666,102708,97917,59583,38,58256
ZCTA5 58257,59063,59063,15167,64779,84808,36875,38,58257
ZCTA5 58258,79896,79896,-666666666,79792,108125,38750,38,58258
ZCTA5 58259,51250,51250,-666666666,90662,44375,26250,38,58259
ZCTA5 58260,77321,77321,-666666666,86563,76458,57500,38,58260
ZCTA5 58261,66500,66500,103636,56818,84659,60750,38,58261
ZCTA5 58262,41875,41875,-666666666,-666666666,63750,-666666666,38,58262
ZCTA5 58265,75625,75625,-666666666,80000,106250,36250,38,58265
ZCTA5 58266,78750,78750,-666666666,143068,72500,-666666666,38,58266
ZCTA5 58267,62500,62500,-666666666,96250,52083,43333,38,58267
ZCTA5 58269,68250,68250,-666666666,-666666666,125179,31667,38,58269
ZCTA5 58270,52500,52500,-666666666,75313,70921,27366,38,58270
ZCTA5 58271,62000,62000,-666666666,81875,55536,52188,38,58271
ZCTA5 58272,70673,70673,-666666666,57083,81250,32321,38,58272
ZCTA5 58273,50208,50208,-666666666,47292,51071,49250,38,58273
