univ_id,po_num,order_num,order_title,created_by,date_updated,order_cost,num_runs,num_students,date_start,date_end,hs_grad_class,zip_code_file,zip_code,state_name,cbsa_name,intl_region,segment,race_ethnicity,gender,sat_score_min,sat_score_max,sat_score_old_min,sat_score_old_max,psat_score_min,psat_score_max,psat_score_old_min,psat_score_old_max,gpa_high,gpa_low,rank_high,rank_low
148654,,473306,SS10 Rest of IL Srs (20) 1150-1290 E EAM,Tuonebrandy Tuonepalmer,2019-05-08,64.80,1,144,2019-05-08,2019-05-08,2020,,623|610|612|611|614|609|613|608|616,,,,,,,1150,1290,1080,1220,,,,,A+,B-,,
148654,,473307,SS12 Rest of IL Srs (20) 920-1040 E EAM,Tuonebrandy Tuonepalmer,2019-05-08,50.40,1,112,2019-05-08,2019-05-08,2020,,623|610|612|611|614|609|613|608|616,,,,,,,920,1040,840,960,,,,,A+,B-,,
148654,,473317,SS02 Primary Srs (20) 1150-1290 E EAM,Tuonebrandy Tuonepalmer,2019-05-08,1.80,1,4,2019-05-08,2019-05-08,2020,,622|620|627|626|625,,,,,,,1150,1290,1080,1220,,,,,A+,B-,,
148654,,473334,SS14 Secondary Srs (20) 1150-1290 E EAM,Tuonebrandy Tuonepalmer,2019-05-08,469.80,1,1044,2019-05-08,2019-05-08,2020,,637|636|651|633|634|631|476|475|478,,,,,,,1150,1290,1080,1220,,,,,A+,B,,
148654,,473305,SS07 Chicagoland Srs (20) 1050-1140 E EAM,Tuonebrandy Tuonepalmer,2019-05-08,135.45,1,301,2019-05-08,2019-05-08,2020,,601|600|606|605|604|603|602,,,,,,,1050,1140,970,1070,,,,,A+,B-,,
148654,,473288,SS03 Primary Srs (20) 1050-1140 E EAM,Tuonebrandy Tuonepalmer,2019-05-08,2.70,1,6,2019-05-08,2019-05-08,2020,,622|620|627|626|625,,,,,,,1050,1140,970,1070,,,,,A+,B-,,
148654,,579370,P33 Rest of IL Soph (22) 800-850 E MAY,Tuonebrandy Tuonepalmer,2020-05-07,90.24,1,192,2020-05-07,2020-05-07,2022,,623|610|612|611|614|609|613|608|616,,,,,,,,,,,800,850,71,76,A+,B-,,
148654,,579351,P11 Primary Soph (22) 800-850 E MAY,Tuonebrandy Tuonepalmer,2020-05-07,0.94,1,2,2020-05-07,2020-05-07,2022,,622|620|627|626|625,,,,,,,,,,,800,850,71,76,A+,B-,,
148654,,579355,P19 Chicagoland Soph (22) 1050-1140 E MAY,Tuonebrandy Tuonepalmer,2020-05-07,855.87,1,1821,2020-05-07,2020-05-07,2022,,601|600|606|605|604|603|602,,,,,,,,,,,1050,1140,97,107,A+,B-,,
148654,,579363,P28 Rest of IL Soph (22) 1300-1520 E MAY,Tuonebrandy Tuonepalmer,2020-05-07,44.18,1,94,2020-05-07,2020-05-07,2022,,623|610|612|611|614|609|613|608|616,,,,,,,,,,,1300,1520,123,149,A+,B-,,
148654,,579288,P08 Primary Soph (22) 1050-1140 E MAY,Tuonebrandy Tuonepalmer,2020-05-07,2.35,1,5,2020-05-07,2020-05-07,2022,,622|620|627|626|625,,,,,,,,,,,1050,1140,97,107,A+,B-,,
148654,,579372,P17 Chicagoland Soph (22) 1300-1520 E MAY,Tuonebrandy Tuonepalmer,2020-05-07,191.29,1,407,2020-05-07,2020-05-07,2022,,601|600|606|605|604|603|602,,,,,,,,,,,1300,1520,123,149,A+,B-,,
148654,,579374,P21 Chicagoland Soph (22) 860-910 E MAY,Tuonebrandy Tuonepalmer,2020-05-07,506.19,1,1077,2020-05-07,2020-05-07,2022,,601|600|606|605|604|603|602,,,,,,,,,,,860,910,78,83,A+,B-,,
148654,,579377,P30 Rest of IL Soph (22) 1050-1140 E MAY,Tuonebrandy Tuonepalmer,2020-05-07,176.72,1,376,2020-05-07,2020-05-07,2022,,623|610|612|611|614|609|613|608|616,,,,,,,,,,,1050,1140,97,107,A+,B-,,
148654,,515016,P51 Secondary Jrs (21) 800-850 E SEPT,Tuonebrandy Tuonepalmer,2019-10-17,483.63,1,1029,2019-10-17,2019-10-17,2021,,637|636|651|633|634|631|476|475|478,,,,,,,,,,,800,850,71,76,A+,B,,
148654,,511881,SS11 Rest of IL Srs (20) 1530-1600 D1,Tuonebrandy Tuonepalmer,2019-10-08,25.85,1,55,2019-10-08,2019-10-08,2020,Rest of IL.txt,,,,,,,,1530,1600,1500,1600,,,,,A+,B-,,
148654,,511841,SS14 Rest of IL Srs (20) 1050-1140 D1,Tuonebrandy Tuonepalmer,2019-10-08,1624.79,1,3457,2019-10-08,2019-10-08,2020,Rest of IL.txt,,,,,,,,1050,1140,970,1070,,,,,A+,B-,,
148654,,511799,SS07 Chicagoland Srs (20) 1300-1520 D1,Tuonebrandy Tuonepalmer,2019-10-08,1124.71,1,2393,2019-10-08,2019-10-08,2020,Chicagoland.txt,,,,,,,,1300,1520,1230,1490,,,,,A+,B-,,
148654,,511884,SS17 Secondary Srs (20) 1410-1520 E D1,Tuonebrandy Tuonepalmer,2019-10-08,198.81,1,423,2019-10-08,2019-10-08,2020,Secondary.txt,,,,,,,,1410,1520,1350,1490,,,,,A+,B,,
148654,,511874,SS01 Primary Srs (20) 1530-1600 D1,Tuonebrandy Tuonepalmer,2019-10-08,0.47,1,1,2019-10-08,2019-10-08,2020,,622|620|627|626|625,,,,,,,1530,1600,1500,1600,,,,,A+,B-,,
148654,,511877,SS06 Chicagoland Srs (20) 1530-1600 D1,Tuonebrandy Tuonepalmer,2019-10-08,99.64,1,212,2019-10-08,2019-10-08,2020,Chicagoland.txt,,,,,,,,1530,1600,1500,1600,,,,,A+,B-,,
148654,,511882,SS12 Rest of IL Srs (20) 1300-1520 D1,Tuonebrandy Tuonepalmer,2019-10-08,515.59,1,1097,2019-10-08,2019-10-08,2020,Rest of IL.txt,,,,,,,,1300,1520,1230,1490,,,,,A+,B-,,
148654,,511883,SS13 Rest of IL Srs (20) 1150-1290 D1,Tuonebrandy Tuonepalmer,2019-10-08,1270.41,1,2703,2019-10-08,2019-10-08,2020,Rest of IL.txt,,,,,,,,1150,1290,1080,1220,,,,,A+,B-,,
148654,,514172,P17 Chicagoland Soph (22) 1300-1520 SEPT,Tuonebrandy Tuonepalmer,2019-10-17,10.81,1,23,2019-10-17,2019-10-17,2022,,601|600|606|605|604|603|602,,,,,,,,,,,1300,1520,123,149,A+,B-,,
