cbsa_name,median_household_income,medincome_total,medincome_under25,medincome_2544,medincome_4564,medincome_65plus,cbsa_code
"Indianapolis-Carmel-Anderson, IN Metro Area",61552,61552,32614,65970,75803,44905,26900
"Indianola, MS Micro Area",30838,30838,35000,31870,32795,26887,26940
"Iowa City, IA Metro Area",62544,62544,18759,68346,91287,55127,26980
"Iron Mountain, MI-WI Micro Area",51730,51730,42786,58407,59228,39045,27020
"Ithaca, NY Metro Area",60240,60240,14755,63203,80838,58467,27060
"Jackson, MI Metro Area",53658,53658,27354,58951,63718,43479,27100
"Jackson, MS Metro Area",52504,52504,26576,54357,61422,41437,27140
"Jackson, OH Micro Area",47550,47550,41228,52697,51916,36107,27160
"Jackson, TN Metro Area",46875,46875,30541,51655,54337,36467,27180
"Jackson, WY-ID Micro Area",81427,81427,-666666666,79120,100594,73121,27220
"Jacksonville, FL Metro Area",61723,61723,36559,63650,72885,49532,27260
"Jacksonville, IL Micro Area",52040,52040,24432,58259,59279,43262,27300
"Jacksonville, NC Metro Area",50278,50278,36733,57733,60000,38696,27340
"Jacksonville, TX Micro Area",48186,48186,42121,47228,60731,42001,27380
"Jamestown, ND Micro Area",57674,57674,47125,63429,73702,37107,27420
"Jamestown-Dunkirk-Fredonia, NY Micro Area",46820,46820,21498,50130,57097,35799,27460
"Janesville-Beloit, WI Metro Area",57875,57875,33463,65038,69527,42176,27500
"Jasper, AL Micro Area",43629,43629,28425,49748,54145,35999,27530
"Jasper, IN Micro Area",57849,57849,55425,71043,68143,39176,27540
"Jayuya, PR Micro Area",14808,14808,13843,20344,12183,13750,27580
"Jefferson, GA Micro Area",65385,65385,51518,72577,74144,42452,27600
"Jefferson City, MO Metro Area",59186,59186,36197,64609,73392,44649,27620
"Jennings, LA Micro Area",42105,42105,20242,54876,55711,27878,27660
"Jesup, GA Micro Area",45483,45483,35428,55585,48662,31538,27700
"Johnson City, TN Metro Area",44439,44439,22165,49712,52732,35406,27740
"Johnstown, PA Metro Area",46659,46659,25272,56466,59183,34702,27780
"Jonesboro, AR Metro Area",46068,46068,25392,50067,56018,38423,27860
"Joplin, MO Metro Area",49098,49098,32128,55414,57560,37655,27900
"Juneau, AK Micro Area",88390,88390,71364,84569,105274,70078,27940
"Kahului-Wailuku-Lahaina, HI Metro Area",80948,80948,46154,84244,91126,63929,27980
"Aberdeen, SD Micro Area",59270,59270,35420,70735,74038,47188,10100
"Aberdeen, WA Micro Area",51240,51240,24931,59122,57425,42369,10140
"Abilene, TX Metro Area",52511,52511,35042,60136,60851,42463,10180
